code	title_sv	parent	depth	breadcrumb	table
HSD.143	Rännstommar	HSD.14	1	H KONSTRUKTIONER AV LÄNGDFORMVAROR > HS KONSTRUKTIONER AV LÄNGDFORMVAROR I HUS > HSD KONSTRUKTIONER AV LÄNGDFORMVAROR AV TRÄ I HUS > HSD.1 Konstruktioner av längdformvaror av furu eller gran > HSD.14 Kompletteringar av längdformvaror av furu eller gran till yttertak > HSD.143 Rännstommar	produktionsresultat
HSD.1431	Stommar till gesimsrännor	HSD.143	1	H KONSTRUKTIONER AV LÄNGDFORMVAROR > HS KONSTRUKTIONER AV LÄNGDFORMVAROR I HUS > HSD KONSTRUKTIONER AV LÄNGDFORMVAROR AV TRÄ I HUS > HSD.1 Konstruktioner av längdformvaror av furu eller gran > HSD.14 Kompletteringar av längdformvaror av furu eller gran till yttertak > HSD.143 Rännstommar > HSD.1431 Stommar till gesimsrännor	produktionsresultat
HSD.1432	Stommar till fotrännor	HSD.143	1	H KONSTRUKTIONER AV LÄNGDFORMVAROR > HS KONSTRUKTIONER AV LÄNGDFORMVAROR I HUS > HSD KONSTRUKTIONER AV LÄNGDFORMVAROR AV TRÄ I HUS > HSD.1 Konstruktioner av längdformvaror av furu eller gran > HSD.14 Kompletteringar av längdformvaror av furu eller gran till yttertak > HSD.143 Rännstommar > HSD.1432 Stommar till fotrännor	produktionsresultat
HSD.1433	Stommar till försänkta ränndalar	HSD.143	1	H KONSTRUKTIONER AV LÄNGDFORMVAROR > HS KONSTRUKTIONER AV LÄNGDFORMVAROR I HUS > HSD KONSTRUKTIONER AV LÄNGDFORMVAROR AV TRÄ I HUS > HSD.1 Konstruktioner av längdformvaror av furu eller gran > HSD.14 Kompletteringar av längdformvaror av furu eller gran till yttertak > HSD.143 Rännstommar > HSD.1433 Stommar till försänkta ränndalar	produktionsresultat
HSD.144	Diverse kompletteringar av längdformvaror av furu eller gran till yttertak	HSD.14	1	H KONSTRUKTIONER AV LÄNGDFORMVAROR > HS KONSTRUKTIONER AV LÄNGDFORMVAROR I HUS > HSD KONSTRUKTIONER AV LÄNGDFORMVAROR AV TRÄ I HUS > HSD.1 Konstruktioner av längdformvaror av furu eller gran > HSD.14 Kompletteringar av längdformvaror av furu eller gran till yttertak > HSD.144 Diverse kompletteringar av längdformvaror av furu eller gran till yttertak	produktionsresultat
HSD.1441	Sargar till takluckor och takfönster	HSD.144	1	H KONSTRUKTIONER AV LÄNGDFORMVAROR > HS KONSTRUKTIONER AV LÄNGDFORMVAROR I HUS > HSD KONSTRUKTIONER AV LÄNGDFORMVAROR AV TRÄ I HUS > HSD.1 Konstruktioner av längdformvaror av furu eller gran > HSD.14 Kompletteringar av längdformvaror av furu eller gran till yttertak > HSD.144 Diverse kompletteringar av längdformvaror av furu eller gran till yttertak > HSD.1441 Sargar till takluckor och takfönster	produktionsresultat
HSD.1442	Stommar till takluckor	HSD.144	1	H KONSTRUKTIONER AV LÄNGDFORMVAROR > HS KONSTRUKTIONER AV LÄNGDFORMVAROR I HUS > HSD KONSTRUKTIONER AV LÄNGDFORMVAROR AV TRÄ I HUS > HSD.1 Konstruktioner av längdformvaror av furu eller gran > HSD.14 Kompletteringar av längdformvaror av furu eller gran till yttertak > HSD.144 Diverse kompletteringar av längdformvaror av furu eller gran till yttertak > HSD.1442 Stommar till takluckor	produktionsresultat
HSD.1443	Stommar till ventilationsskorstenar e d	HSD.144	1	H KONSTRUKTIONER AV LÄNGDFORMVAROR > HS KONSTRUKTIONER AV LÄNGDFORMVAROR I HUS > HSD KONSTRUKTIONER AV LÄNGDFORMVAROR AV TRÄ I HUS > HSD.1 Konstruktioner av längdformvaror av furu eller gran > HSD.14 Kompletteringar av längdformvaror av furu eller gran till yttertak > HSD.144 Diverse kompletteringar av längdformvaror av furu eller gran till yttertak > HSD.1443 Stommar till ventilationsskorstenar e d	produktionsresultat
HSD.1444	Reglar för plåtbeslag på yttertak	HSD.144	1	H KONSTRUKTIONER AV LÄNGDFORMVAROR > HS KONSTRUKTIONER AV LÄNGDFORMVAROR I HUS > HSD KONSTRUKTIONER AV LÄNGDFORMVAROR AV TRÄ I HUS > HSD.1 Konstruktioner av längdformvaror av furu eller gran > HSD.14 Kompletteringar av längdformvaror av furu eller gran till yttertak > HSD.144 Diverse kompletteringar av längdformvaror av furu eller gran till yttertak > HSD.1444 Reglar för plåtbeslag på yttertak	produktionsresultat
HSD.1445	Reglar för fastsättning av tätskiktsmatta e d på yttertak	HSD.144	1	H KONSTRUKTIONER AV LÄNGDFORMVAROR > HS KONSTRUKTIONER AV LÄNGDFORMVAROR I HUS > HSD KONSTRUKTIONER AV LÄNGDFORMVAROR AV TRÄ I HUS > HSD.1 Konstruktioner av längdformvaror av furu eller gran > HSD.14 Kompletteringar av längdformvaror av furu eller gran till yttertak > HSD.144 Diverse kompletteringar av längdformvaror av furu eller gran till yttertak > HSD.1445 Reglar för fastsättning av tätskiktsmatta e d på yttertak	produktionsresultat
