code	title_sv	parent	depth	breadcrumb	table
64.DBF	Personsökningssystem	64.DB	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.D Teletekniska signalsystem > 64.DB Händelseaktiverade signalsystem > 64.DBF Personsökningssystem	byggdel
64.DBF/1	Personsökningssystem – trådlösa system	64.DBF	2	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.D Teletekniska signalsystem > 64.DB Händelseaktiverade signalsystem > 64.DBF Personsökningssystem > 64.DBF/1 Personsökningssystem – trådlösa system	byggdel
64.DBF/11	Personsökningssystem – trådlösa system med anrop via radio	64.DBF/1	2	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.D Teletekniska signalsystem > 64.DB Händelseaktiverade signalsystem > 64.DBF Personsökningssystem > 64.DBF/1 Personsökningssystem – trådlösa system > 64.DBF/11 Personsökningssystem – trådlösa system med anrop via radio	byggdel
64.DBF/2	Personsökningssystem – trådbundna system	64.DBF	2	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.D Teletekniska signalsystem > 64.DB Händelseaktiverade signalsystem > 64.DBF Personsökningssystem > 64.DBF/2 Personsökningssystem – trådbundna system	byggdel
64.DBG	Bokningssystem	64.DB	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.D Teletekniska signalsystem > 64.DB Händelseaktiverade signalsystem > 64.DBG Bokningssystem	byggdel
64.DBGB	Bokningssystem i tvättstugor	64.DBG	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.D Teletekniska signalsystem > 64.DB Händelseaktiverade signalsystem > 64.DBG Bokningssystem > 64.DBGB Bokningssystem i tvättstugor	byggdel
64.DC	Tidsaktiverade signalsystem	64.D	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.D Teletekniska signalsystem > 64.DC Tidsaktiverade signalsystem	byggdel
64.DCB	Tidgivningssystem	64.DC	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.D Teletekniska signalsystem > 64.DC Tidsaktiverade signalsystem > 64.DCB Tidgivningssystem	byggdel
64.DCC	Tidregistreringssystem	64.DC	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.D Teletekniska signalsystem > 64.DC Tidsaktiverade signalsystem > 64.DCC Tidregistreringssystem	byggdel
64.DCCB	Närvarotidsystem	64.DCC	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.D Teletekniska signalsystem > 64.DC Tidsaktiverade signalsystem > 64.DCC Tidregistreringssystem > 64.DCCB Närvarotidsystem	byggdel
64.DCCC	Tidredovisningssystem för sport	64.DCC	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.D Teletekniska signalsystem > 64.DC Tidsaktiverade signalsystem > 64.DCC Tidregistreringssystem > 64.DCCC Tidredovisningssystem för sport	byggdel
64.DCD	Tidsignaleringssystem	64.DC	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.D Teletekniska signalsystem > 64.DC Tidsaktiverade signalsystem > 64.DCD Tidsignaleringssystem	byggdel
64.DCDB	Rastsignalsystem	64.DCD	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.D Teletekniska signalsystem > 64.DC Tidsaktiverade signalsystem > 64.DCD Tidsignaleringssystem > 64.DCDB Rastsignalsystem	byggdel
64.DCDC	Väckningssystem	64.DCD	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.D Teletekniska signalsystem > 64.DC Tidsaktiverade signalsystem > 64.DCD Tidsignaleringssystem > 64.DCDC Väckningssystem	byggdel
64.E	Telekommunikationssystem	64	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.E Telekommunikationssystem	byggdel
64.EA	Sammansatta telekommunikationssystem	64.E	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.E Telekommunikationssystem > 64.EA Sammansatta telekommunikationssystem	byggdel
64.EB	Telefonsystem	64.E	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.E Telekommunikationssystem > 64.EB Telefonsystem	byggdel
64.EBB	Allmänt tillgängliga telefonsystem i fastighet	64.EB	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.E Telekommunikationssystem > 64.EB Telefonsystem > 64.EBB Allmänt tillgängliga telefonsystem i fastighet	byggdel
64.EBC	Interntelefonsystem	64.EB	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.E Telekommunikationssystem > 64.EB Telefonsystem > 64.EBC Interntelefonsystem	byggdel
64.EBD	Porttelefonsystem	64.EB	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.E Telekommunikationssystem > 64.EB Telefonsystem > 64.EBD Porttelefonsystem	byggdel
64.EBG	Snabbtelefonsystem	64.EB	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.E Telekommunikationssystem > 64.EB Telefonsystem > 64.EBG Snabbtelefonsystem	byggdel
64.EBH	Hjälptelefonsystem	64.EB	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.E Telekommunikationssystem > 64.EB Telefonsystem > 64.EBH Hjälptelefonsystem	byggdel
64.EBHB	Hisstelefonsystem	64.EBH	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.E Telekommunikationssystem > 64.EB Telefonsystem > 64.EBH Hjälptelefonsystem > 64.EBHB Hisstelefonsystem	byggdel
64.EC	Ljudöverföringssystem och bildöverföringssystem	64.E	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.E Telekommunikationssystem > 64.EC Ljudöverföringssystem och bildöverföringssystem	byggdel
64.ECB	Ljudöverföringssystem	64.EC	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.E Telekommunikationssystem > 64.EC Ljudöverföringssystem och bildöverföringssystem > 64.ECB Ljudöverföringssystem	byggdel
64.ECB/1	Ljudöverföringssystem – system med högtalare	64.ECB	2	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.E Telekommunikationssystem > 64.EC Ljudöverföringssystem och bildöverföringssystem > 64.ECB Ljudöverföringssystem > 64.ECB/1 Ljudöverföringssystem – system med högtalare	byggdel
64.ECB/2	Ljudöverföringssystem – system med centralradio	64.ECB	2	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.E Telekommunikationssystem > 64.EC Ljudöverföringssystem och bildöverföringssystem > 64.ECB Ljudöverföringssystem > 64.ECB/2 Ljudöverföringssystem – system med centralradio	byggdel
64.ECB/3	Ljudöverföringssystem – system med teleslinga e d	64.ECB	2	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.E Telekommunikationssystem > 64.EC Ljudöverföringssystem och bildöverföringssystem > 64.ECB Ljudöverföringssystem > 64.ECB/3 Ljudöverföringssystem – system med teleslinga e d	byggdel
64.ECB/31	Ljudöverföringssystem – teleslinga	64.ECB/3	2	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.E Telekommunikationssystem > 64.EC Ljudöverföringssystem och bildöverföringssystem > 64.ECB Ljudöverföringssystem > 64.ECB/3 Ljudöverföringssystem – system med teleslinga e d > 64.ECB/31 Ljudöverföringssystem – teleslinga	byggdel
64.ECB/32	Ljudöverföringssystem – IR-överföring	64.ECB/3	2	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.E Telekommunikationssystem > 64.EC Ljudöverföringssystem och bildöverföringssystem > 64.ECB Ljudöverföringssystem > 64.ECB/3 Ljudöverföringssystem – system med teleslinga e d > 64.ECB/32 Ljudöverföringssystem – IR-överföring	byggdel
64.ECC	Bildöverföringssystem	64.EC	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.E Telekommunikationssystem > 64.EC Ljudöverföringssystem och bildöverföringssystem > 64.ECC Bildöverföringssystem	byggdel
